Actor/Actress	Movie	Year
AARON, CAROLINE	THE BROTHER FROM ANOTHER PLANET	1984
AARON, CAROLINE	BIG NIGHT	1996
AARON, CAROLINE	AMY'S ORGASM	2001
AARON, CAROLINE	THE SECRET LIFE OF ZOEY	2002
AARON, CAROLINE	NOBODY'S BABY	2001
AARON, CAROLINE	PUMPKIN	2002
AARON, CAROLINE	ANYWHERE BUT HERE	1999
AARON, CAROLINE	DECONSTRUCTING HARRY	1997
AARON, CAROLINE	JOE DIRT	2001
AARON, CAROLINE	HOUSE ARREST	1996
AARON, CAROLINE	WHAT PLANET ARE YOU FROM?	2000
AARON, CAROLINE	A MODERN AFFAIR	1995
AARON, CAROLINE	NEVER AGAIN	2001
AARON, CAROLINE	WHEN BILLIE BEAT BOBBY	2001
AARON, CAROLINE	SLEEPLESS IN SEATTLE	1993
AARON, CAROLINE	THE BOYS NEXT DOOR	1996
AARON, CAROLINE	LUCKY NUMBERS	2000
AARON, CAROLINE	HUSBANDS AND WIVES	1992
AARON, CAROLINE	BOUNCE	2000
AARON, CAROLINE	THIS IS MY LIFE	1992
AARON, CAROLINE	THERE'S NO FISH FOOD IN HEAVEN	1998
AARON, CAROLINE	MIXED NUTS	1994
AARON, CAROLINE	PRIMARY COLORS	1998
AARON, CAROLINE	DEAD AND ALIVE: THE RACE FOR GUS FARACE	1991
AARON, CAROLINE	THE PICKLE	1993
AARON, CAROLINE	WEAPONS OF MASS DISTRACTION	1997
AARONS, BONNIE	DEAR GOD	1996
AARONS, BONNIE	SHALLOW HAL	2001
AARONS, BONNIE	MULHOLLAND DR.	2001
AARONS, BONNIE	EXIT TO EDEN	1994
AASLAND, DEREK	THE SKULLS	2000
AASLAND, DEREK	FREQUENCY	2000
AASLAND, DEREK	KIDS IN THE HALL: BRAIN CANDY	1996
AASLAND, DEREK	RATED X	2000
AASLAND, DEREK	HENDRIX	2000
AASLAND, DEREK	TWO OF US	2000
AASLAND, DEREK	URBAN LEGENDS: FINAL CUT	2000
AASLAND, DEREK	BLEACHER BUMS	2001
ABATEMARCO, TONY	AUGGIE ROSE	2000
ABATEMARCO, TONY	TOWN & COUNTRY	2001
ABATEMARCO, TONY	SLEEPING WITH THE ENEMY	1991
ABATEMARCO, TONY	MUSIC FROM ANOTHER ROOM	1998
ABATEMARCO, TONY	SUBTERFUGE	1996
ABATEMARCO, TONY	CLOCKSTOPPERS	2002
ABATEMARCO, TONY	I AM SAM	2001
ABATEMARCO, TONY	ALL OVER THE GUY	2001
ABATEMARCO, TONY	SACRIFICE	2000
ABBASS, HIAM	CHACUN CHERCHE SON CHAT	1996
ABBOTT, ANNIE (I)	RENNIE'S LANDING	2001
ABBOTT, ANNIE (I)	CAN'T BE HEAVEN	2000
ABBOTT, DEBORAH	SLAP HER, SHE'S FRENCH!	2002
ABBOTT, DEBORAH	WHERE THE HEART IS	2000
ABBOTT, DEBORAH	THE NEW GUY	2002
ABBOTT, DEBORAH	SPY KIDS 2: ISLAND OF LOST DREAMS	2002
ABBOTT, DEBORAH	MISS CONGENIALITY	2000
ABBOTT, DEBORAH	AT ANY COST	2000
ABDOO, ROSE	MY BEST FRIEND'S WEDDING	1997
ABDOO, ROSE	U.S. MARSHALS	1998
ABDOO, ROSE	UNCONDITIONAL LOVE	2002
ABE, TSUYOSHI (I)	TYCUS	1999
ABE, TSUYOSHI (I)	BLACK FRIDAY	2001
ABE, TSUYOSHI (I)	NO WAY BACK	1995
ABECKASER, DANNY A.	MADE	2001
ABELANSKI, LIONEL	TRAIN DE VIE	1998
ABELANSKI, LIONEL	MA FEMME EST UNE ACTRICE	2001
ABELL, ALISTAIR	TURBULENCE 3: HEAVY METAL	2001
ABELL, ALISTAIR	PRESSURE	2002
ABELL, ALISTAIR	THE DEAD ZONE	2002
ABELL, ALISTAIR	FOR THE MOMENT	1993
ABELL, ALISTAIR	THE HOT KARL	2001
ABELL, TIM	SUNSET STRIP	1993
ABELL, TIM	HYBRID	1998
ABELL, TIM	THE ESCORT III	1999
